title,authors,work_id,first_publish_year,language,subjects,number_of_pages,edition_count
Siddhartha,Hermann Hesse,OL872932W,1922,rus,,,205
Ivanhoe,Sir Walter Scott,OL863808W,1800,gle,,,228
Catch-22,Joseph Heller,OL276798W,1961,ara,,,134
Howards End,Edward Morgan Forster,OL88881W,1910,eng,,,166
Far From the Madding Crowd,Thomas Hardy,OL44995W,1874,swe,,,229
Записки изъ подполья,Фёдор Михайлович Достоевский,OL166899W,1960,rum,,,131
Daisy Miller,Henry James,OL276328W,1877,ger,,,244
The Art of War,"孙武, Sun Tzu ",OL244537W,1900,mul,,,1433
The Sayings of Lao Tzü,Laozi,OL45503W,1875,rus,,,191
The House of Mirth,Edith Wharton,OL98587W,1905,fin,,,684
The Return of the Native,Thomas Hardy,OL44994W,1878,pan,,,205
White Fang,Jack London,OL74504W,1905,und,,,367
A Room with a View,Edward Morgan Forster,OL88813W,1908,ita,,,180
The Jungle,Upton Sinclair,OL114967W,1905,pol,,,358
The Grapes of Wrath,John Steinbeck,OL23205W,1939,pol,,,260
A Farewell to Arms,Ernest Hemingway,OL63072W,1929,pol,,,100
The Hunchback of Notre Dame,Victor Hugo,OL15202030W,1831,und,,,266
The Age of Innocence,Edith Wharton,OL98491W,1920,ita,,,285
A Doll's House,Henrik Ibsen,OL16249343W,1889,yid,,,255
The Very Hungry Caterpillar,Eric Carle,OL52987W,1969,guj,,,178
Die Verwandlung,Franz Kafka,OL498556W,1915,eng,,,948
El amor en los tiempos del cólera,Gabriel Garcia Marquez,OL274518W,1985,gre,,,127
Little House in the Big Woods,"Laura Ingalls Wilder, Garth Williams",OL1719746W,1932,eng,,,113
The Scarlet Letter,Nathaniel Hawthorne,OL455305W,1850,ita,,,608
When the Sleeper Awakes,H. G. Wells,OL52151W,1899,ita,,,197
The Mystery of the Blue Train,Agatha Christie,OL471603W,1928,spa,,,117
Ethan Frome,Edith Wharton,OL98501W,1910,pol,,,1000
Moby Dick,Herman Melville,OL102749W,1851,hin,,,1117
The Marvelous Land of Oz,L. Frank Baum,OL18396W,1904,ara,,,724
The Invisible Man,H. G. Wells,OL52266W,0,eng,,,563
