title,authors,work_id,first_publish_year,language,subjects,number_of_pages,edition_count
The Norton Anthology of English Literature,"M. H. Abrams, M. Abrams, M. H. Adams, Stephen Greenblatt, Abrams, M. H., M. H. Abrams",OL2026379W,1962,eng,,,244
English grammar,Lindley Murray,OL1147651W,1795,eng,,,126
A dictionary of the English language,Samuel Johnson,OL14862662W,1747,eng,,,104
Abridgment of Murray's English Grammar,Lindley Murray,OL1147650W,1800,eng,,,118
John Donne Poetry,"John Donne, John Booty, P.G. Stanwood",OL15420303W,1633,spa,,,105
Bible,Bible,OL17732W,1200,per,,,3174
Noli Me Tangere,José Rizal,OL1622789W,1902,eng,,,99
Common Sense,Thomas Paine,OL60358W,1776,ger,,,108
"Ramayana, a Holy Bible of India","Vālmīki, Robert P. Goldman, Rosalind Lefeber, Sheldon I. Pollock",OL308980W,1823,inc,,,110
Ὀδύσσεια,Όμηρος,OL61982W,1488,gle,,,1060
Mémoires,Giacomo Casanova,OL1156251W,1830,eng,,,104
History,Herodotus,OL15678068W,1494,und,,,282
Ἰλιάς,Όμηρος,OL61981W,1505,gle,,,1084
Les confessions,Jean-Jacques Rousseau,OL80592W,1782,yid,,,244
Metamorphoses,Ovid,OL15292640W,1479,enm,,,491
Ἀπολογία Σωκράτους,Πλάτων,OL51948W,1675,lat,,,232
Sein und Zeit,"Martin Heidegger, John Macquarrie, Edward S. Robinson, Friedrich-Wilhelm von Herrmann",OL77609W,1927,ita,,,109
Goodnight Moon,Margaret Wise Brown,OL151798W,1947,ita,,,125
Imitation of Christ,"Thomas à Kempis, Jérôme de Gonnelieu, Richard Challoner, Ronald Arbuthnott Knox, Michael Oakley, Paul M. Bechtel, Joseph N. Tylenda, Elder Mullan, Henri Belleau, Félicité Robert de Lamennais, John Payne, William C. Creasy, Thomas Rogers, Sixtus V Pope, Hal McElwaine Helms, Harold C. Gardiner, Richard Whitford, Edgar Daplyn, David Alexander MacLennan, E. M. Blaiklock, Aloysius Croft, Harold Bolton, Richard Whitford, Wilfrid Raynal, Henry Parry Liddon, Félicité Robert De Lamennais, Jon M. Sweeney, Rev. William Benham, Rev. William Rev. William Benham, Valenti Angelo, Challoner, Leo Sherley-Price, Paul Wesley Chilcote, Pierre Corneille, Thomas Chalmers, George Hickes",OL260847W,1568,gle,,,394
The Prophet,Kahlil Gibran,OL318900W,1900,yid,,,361
Genji monogatari,Murasaki Shikibu,1900,eng,,japanese,121
Autobiography of a Yogi,Yogananda Paramahansa,1946,est,,japanese,182
"Under the Greenwood Tree or, The Mellstock quire",Thomas Hardy,1872,fre,,japanese,352
The book of tea,Okakura Kakuzo,1900,vie,,japanese,151
A Tale of Two Cities,Charles Dickens,1800,gle,,japanese,2059
Fairy Tales and Stories,Hans Christian Andersen,1850,rus,,japanese,145
The Prince and the Pauper,Mark Twain,1881,spa,,japanese,755
The Tale of Peter Rabbit,"Beatrix Potter, Blackwell North America., Jean Little, David Hately, J. K. Jomkhwan, Lisa McCue",1920,spa,,japanese,102
The Valley of Fear,Arthur Conan Doyle,1914,eng,,japanese,758
Gone With the Wind,Margaret Mitchell,1905,rus,,japanese,244
Anna Karenina,Лев Толстой,1876,ukr,,japanese,899
Tess of the d'Urbervilles,Thomas Hardy,1707,pol,,japanese,747
Decamerone,Giovanni Boccaccio,1516,ukr,,japanese,700
Jane Eyre,Charlotte Brontë,1847,cor,,japanese,787
A Midsummer Night's Dream,William Shakespeare,1600,ita,,japanese,939
Little Women,Louisa May Alcott,1848,pol,,japanese,1887
Third Girl,Agatha Christie,1966,ara,,japanese,89
Kokoro,"夏目漱石, Yoko Ogihara, Fernando Cordobés, Carlos Rubio lópez de la Llave, Nagi Yoshizaki, Makiko Itoh",1914,jpn,,japanese,84
"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr., Eric Carle",1967,guj,,japanese,82
King Richard II,William Shakespeare,1597,slv,,japanese,697
The Norton Anthology of English Literature,"M. H. Abrams, M. Abrams, M. H. Adams, Stephen Greenblatt, Abrams, M. H., M. H. Abrams",OL2026379W,1962,eng,,,244
English grammar,Lindley Murray,OL1147651W,1795,eng,,,126
A dictionary of the English language,Samuel Johnson,OL14862662W,1747,eng,,,104
Abridgment of Murray's English Grammar,Lindley Murray,OL1147650W,1800,eng,,,118
John Donne Poetry,"John Donne, John Booty, P.G. Stanwood",OL15420303W,1633,spa,,,105
Bible,Bible,OL17732W,1200,per,,,3174
Noli Me Tangere,José Rizal,OL1622789W,1902,eng,,,99
Common Sense,Thomas Paine,OL60358W,1776,ger,,,108
"Ramayana, a Holy Bible of India","Vālmīki, Robert P. Goldman, Rosalind Lefeber, Sheldon I. Pollock",OL308980W,1823,inc,,,110
Ὀδύσσεια,Όμηρος,OL61982W,1488,gle,,,1060
Mémoires,Giacomo Casanova,OL1156251W,1830,eng,,,104
History,Herodotus,OL15678068W,1494,und,,,282
Ἰλιάς,Όμηρος,OL61981W,1505,gle,,,1084
Les confessions,Jean-Jacques Rousseau,OL80592W,1782,yid,,,244
Metamorphoses,Ovid,OL15292640W,1479,enm,,,491
Ἀπολογία Σωκράτους,Πλάτων,OL51948W,1675,lat,,,232
Sein und Zeit,"Martin Heidegger, John Macquarrie, Edward S. Robinson, Friedrich-Wilhelm von Herrmann",OL77609W,1927,ita,,,109
Goodnight Moon,Margaret Wise Brown,OL151798W,1947,ita,,,125
