title,authors,work_id,first_publish_year,language,subjects,number_of_pages,edition_count
Life on the Mississippi,Mark Twain,OL53959W,1883,ger,,,157
Sein und Zeit,"Martin Heidegger, John Macquarrie, Edward S. Robinson, Friedrich-Wilhelm von Herrmann",OL77609W,1927,ita,,,109
English grammar,Lindley Murray,OL1147651W,1795,eng,,,126
Poems,William Butler Yeats,OL38847W,1895,fre,,,135
Autobiography,"Benjamin Franklin, Horatio Hastings Weld, Charles W. Eliot, James Zimmerhoff, Charles Eliot",OL26492W,1791,eng,,,679
The Elements of Style,"William Strunk, Jr., E. B. White",OL38285W,1920,eng,,,245
Discours de la méthode,René Descartes,OL1151518W,1644,eng,,,163
The Prince and the Pauper,Mark Twain,OL53994W,1881,spa,,,755
An autobiography,"Mohandas Karamchand Gandhi, Mahadev Desai, Tridip Suhrud, Bill Wallace, D. Fog, Emi K, Beatrice Tanaka, Muriel Muller, Shekhar Verma",OL298031W,1927,ara,,,140
A Connecticut Yankee in King Arthur's Court,Mark Twain,OL54031W,1889,dut,,,788
Plays (36),William Shakespeare,OL362289W,1623,eng,,,257
The Portrait of a Lady,Henry James,OL276370W,1881,lat,,,136
The Adventures of Tom Sawyer,Mark Twain,OL53919W,1817,per,,,879
Kim,Rudyard Kipling,OL19908W,1901,pol,,,934
Justine,Marquis de Sade,OL962240W,1900,eng,,,102
The Old Man and the Sea,Ernest Hemingway,OL63073W,1952,ara,,,224
Gulliver's Travels,Jonathan Swift,OL20600W,1726,per,,,1809
Abridgment of Murray's English Grammar,Lindley Murray,OL1147650W,1800,eng,,,118
Walden,Henry David Thoreau,OL55649W,1854,ita,,,486
Pensées,"Blaise Pascal, Philippe Sellier, William Finlayson Trotter, T. S. Eliot, Blaise Perier, Margival Henri, H. F. Stewart",OL1262495W,1670,lat,,,395
Die Leiden des jungen Werthers,Johann Wolfgang von Goethe,OL52556W,1779,yid,,,211
Moby Dick,Herman Melville,OL102749W,1851,hin,,,1117
History of the Decline and Fall of the Roman Empire Complete and Unabridged,Edward Gibbon,OL1285005W,1776,spa,,,222
This Side of Paradise,F. Scott Fitzgerald,OL468488W,1920,eng,,,495
"The life of Olaudah Equiano, or Gustavus Vassa, the African","Olaudah Equiano, Robert J. Allison, Rebecka Rutledge Fisher",OL743333W,1789,ger,,,298
Anna Karenina,Лев Толстой,OL267096W,1876,ukr,,,899
Leaves of Grass,Walt Whitman,OL16333W,1855,hun,,,714
Adventures of Huckleberry Finn,Mark Twain,OL53908W,1876,ind,,,2552
Manifest der Kommunistischen Partei,"Karl Marx, Friedrich Engels",OL629052W,1848,ita,,,458
Poetics,"Aristotle, Leon Golden, O. B. Hardison",OL13703833W,1536,urd,,,251
The Great Gatsby,F. Scott Fitzgerald,OL468431W,1920,pol,,,1174
Anthem,"Ayn Rand, Erin Bateman",OL731737W,1936,eng,,,103
As a man thinketh,James Allen,OL43024W,1902,tam,,,657
Persuasion,Jane Austen,OL66544W,1789,pol,,,1235
Ἰλιάς,Όμηρος,OL61981W,1505,gle,,,1084
Essays,Francis Bacon,OL69382W,1618,eng,,,188
King Solomon's Mines,H. Rider Haggard,OL17449W,1885,eng,,,110
Treasure Island,Robert Louis Stevenson,OL24034W,1880,gle,,,1984
Candide,"Voltaire, William Fleming, Philip Littell, Jack Davenport",OL100672W,1746,eng,,,1079
The Last of the Mohicans,James Fenimore Cooper,OL77958W,1826,eng,,,862
Uncle Tom's Cabin,Harriet Beecher Stowe,OL152161W,1850,ita,,,662
The Prince,Niccolò Machiavelli,OL1089297W,1515,ara,,,1406
Robinson Crusoe,Daniel Defoe,OL45310W,1719,arm,,,549
Sonnets,William Shakespeare,OL362706W,1609,ara,,,579
Romeo and Juliet,William Shakespeare,OL362427W,1597,afr,,,973
Narrative of the life of Frederick Douglass,Frederick Douglass,OL69178W,1845,spa,,,1032
Wuthering Heights,Emily Brontë,OL21177W,1846,gle,,,2850
Frankenstein or The Modern Prometheus,Mary Shelley,OL450063W,1818,eng,,,2184
Study Guide,Supersummary,OL21885963W,2019,eng,,,310
The Hunchback of Notre Dame,Victor Hugo,OL15202030W,1831,und,,,266
The Man in the Brown Suit,Agatha Christie,OL472549W,1924,eng,,,192
Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,OL151411W,1889,ger,,,542
Incidents in the life of a slave girl,"Harriet A. Jacobs, Harriet Jacobs, Lydia Maria Child, Francine L. Jacobs, l. maria child, Carolyn L. Karcher, Jacobs, Hans Murray, Carla Fonte Sánchez, Carme Manuel Cuenca",OL28623W,1861,eng,,,386
Murder in Mesopotamia,Agatha Christie,OL472572W,1936,dut,,,102
Sleeping Murder,Agatha Christie,OL472250W,1940,eng,,,103
The Hollow,Agatha Christie,OL472526W,1946,spa,,,102
Five Little Pigs,Agatha Christie,OL471666W,1942,spa,,,101
Crooked House,Agatha Christie,OL471891W,1949,eng,,,109
Sparkling Cyanide,Agatha Christie,OL471983W,1945,spa,,,105
Appointment with Death,Agatha Christie,OL471667W,1938,ita,,,103
Lord Edgware Dies,Agatha Christie,OL471767W,1933,ara,,,106
The moving finger,Agatha Christie,OL471905W,1942,spa,,,109
They Do It with Mirrors,Agatha Christie,OL471871W,1952,ita,,,108
Hercule Poirot's Christmas,Agatha Christie,OL471841W,1939,eng,,,103
After the Funeral,Agatha Christie,OL471943W,1953,eng,,,109
Curtain,Agatha Christie,OL472470W,1975,gre,,,105
Murder in Three Acts,Agatha Christie,OL471765W,1934,spa,,,100
Peril at End House,Agatha Christie,OL472165W,1932,spa,,,107
The Secret of Chimneys,Agatha Christie,OL472542W,1925,spa,,,112
The Big Four,Agatha Christie,OL471947W,1927,spa,,,111
Death in the Clouds,Agatha Christie,OL472324W,1935,ita,,,103
Pride and Prejudice,Jane Austen,OL66554W,1813,ind,,,4036
NASA/DoD aerospace knowledge diffusion research project,Thomas E. Pinelli,OL8894965W,1990,eng,,,101
At Bertram's Hotel,Agatha Christie,OL265415W,1965,ita,,,108
A Murder Is Announced,Agatha Christie,OL471771W,1950,spa,,,119
A Caribbean Mystery,"Agatha Christie, Christie",OL472458W,1964,eng,,,105
Evil Under the Sun,Agatha Christie,OL472049W,1941,eng,,,114
The Mirror Crack'd from Side to Side,Agatha Christie,OL471990W,1960,gre,,,111
The Murder at the Vicarage,Agatha Christie,OL471895W,1930,gre,,,118
Carrie,Stephen King,OL81626W,1974,spa,,,112
'Salem’s Lot,Stephen King,OL81632W,1975,rus,,,104
The Body in the Library,Agatha Christie,OL471610W,1942,pol,,,111
4:50 from Paddington,Agatha Christie,OL471500W,1957,ita,,,131
The A.B.C. Murders,Agatha Christie,OL471509W,1936,eng,,,132
The Mystery of the Blue Train,Agatha Christie,OL471603W,1928,spa,,,117
Poirot investigates,Agatha Christie,OL471940W,1924,spa,,,205
Twelve years a slave,Solomon Northup,OL78871W,1853,ita,,,1028
Up from Slavery,Booker T. Washington,OL357501W,1900,por,,,429
Death on the Nile,Agatha Christie,OL471724W,1937,fin,,,164
Alice's Adventures in Wonderland,Lewis Carroll,OL138052W,1865,gle,,,3546
Murder on the Links,Agatha Christie,OL472073W,1923,spa,,,261
And Then There Were None,Agatha Christie,OL471565W,1939,pol,,,182
The Secret Adversary,Agatha Christie,OL471789W,1922,spa,,,735
The Murder of Roger Ackroyd,Agatha Christie,OL471932W,1926,rus,,,205
Murder on the Orient Express,"Agatha Christie, Andrew Sachs, Ken Ludwig, Not Known, Graham Johnson, Bethany Bolton, Jesse Felton, Chalut, Hal Boffin",OL471576W,1933,pol,,,221
Vom Kriege,"Carl von Clausewitz, F. N. Maude, James John Graham",OL62744W,1835,und,,,190
Bible,Bible,OL17732W,1200,per,,,3174
The Pilgrim's Progress,John Bunyan,OL107195W,1678,wel,,,683
Συμπόσιον,Πλάτων,OL51815W,1559,lat,,,350
Decamerone,Giovanni Boccaccio,OL7180368W,1516,ukr,,,700
